vehicle_id,model_id,location_id,engine_id,title,year,used_or_new,vehicle_type,doors,seats,colour_ext_int,kilometres,price
Z5346U2746N,R1571F4612Y,Q4159C1370K,B5248Y7786H,2022 Jeep Compass S-Limited (4X4),2022,USED,4WD, 4 Doors, 5 Seats,Blue / Black,7632,45990
W2044E9894L,V1613I9114W,K6708O1175L,G2257I9007W,2020 Subaru Forester 2.5I (awd),2020,USED,AWD, 4 Doors, 5 Seats,Silver / Black,54641,33950
H3888B9203X,S6513J6877T,Z6536Q3366O,E6913Q2574N,2007 Toyota Estima Areas,2007,USED,Front,,,White / -,100057,13999
D2391J2903P,W5815B2720M,H8614K7627C,P6924E8927G,2021 MG MG3 Auto Core,2021,USED,Front, 5 Doors, 5 Seats,Black / Black,20827,19990
R5622M4561Y,W8121F2147D,K1969G4249B,B1205O8675G,2019 Mazda CX-5 Touring (4X4),2019,USED,AWD, 4 Doors, 5 Seats,White / Black,65672,29500
F1357P7255M,P7516T5737S,X9050H4365M,Y4868R3417O,2022 MG HS Vibe,2022,USED,Front, 4 Doors, 5 Seats,White / Black Leather,2478,28990
V8403V9666Z,B1999F5704Z,E8712P4969N,Y2999L6570T,2021 LDV D90 Executive (4WD) D20,2021,USED,4WD, 4 Doors, 7 Seats,Blue / Black,82977,34990
P1850T6565B,D5472N7191Z,J6080M3433B,U2242T9628O,2021 Toyota Hilux Rugged X (4X4),2021,USED,4WD, 4 Doors, 5 Seats,White / Black,20097,73619
T6383V8082G,D2511A1190Y,R4886P2619Y,M4961N5926V,2016 Holden Calais,2016,USED,Rear, 4 Doors, 5 Seats,Silver / -,113654,17995
B4591U4433M,O1349P5109Y,H2856K1959D,Z6393O8514A,2023 Jeep Wrangler Unlimited Rubicon (4X4),2023,NEW,4WD, 4 Doors, 5 Seats,- / -,28,92990
G1104H7030P,B8022L4235B,V7669H3780U,N9895Y7524X,2018 Subaru Forester 2.5I (awd),2018,USED,AWD, 4 Doors, 5 Seats,White / Black,62133,32950
Q5423L4870Q,D1962F3084A,F5916Y8572G,X3991D1507J,2023 Toyota Landcruiser Prado VX Flat Tailgate,2023,USED,4WD, 4 Doors, 7 Seats,Black / Grey Leather,92,96990
G5471I5495Y,Z8917I8600D,O4431O1866A,D4370X1660U,2013 Subaru Forester 2.5I,2013,USED,AWD, 4 Doors, 5 Seats,- / -,103203,20747
J8061F7031G,N4381F9192Z,W5112P8394B,D2499U5840P,2020 Kia RIO S,2020,USED,Front, 5 Doors, 5 Seats,White / Grey,44523,21970
W2514J8052R,E5616Z4942F,D9130O2188Q,C4046E9195R,2015 Toyota Hilux SR (4X4),2015,USED,4WD, 2 Doors, 2 Seats,White / Black,196936,29990
L1295C5570C,O4133S2215G,T3916Q8115L,E7014K7935E,2017 Toyota Hilux Workmate,2017,USED,Rear, 4 Doors, 5 Seats,White / Black,77946,34950
S4778F1762F,A6483T7028T,O3920H1705G,H9119P4098G,2017 Hyundai I30 Active,2017,USED,Front, 4 Doors, 5 Seats,White / Grey,63225,20990
T2514N5495O,A6397V7753V,T9316Q6331P,T6183C5926G,2014 Holden Cruze SRI,2014,USED,Front, 5 Doors, 5 Seats,Red / Black,90200,13966
L8504R3960D,O9438K8015O,U3276V2199I,X8102I3226I,2012 Mitsubishi Outlander LS (4X2),2012,USED,Front, 4 Doors, 5 Seats,White / -,248791,13799
I1470Q8006E,O8126X9029P,O9573X8731G,Z2519G4704G,2021 Toyota Corolla Ascent Sport + TR KIT,2021,USED,Front, 5 Doors, 5 Seats,White / Black,15958,33888
G5322S5411C,A2905N3055V,G9454A8745E,E9463I3476K,2023 MG ZST Excite,2023,NEW,Front, 5 Doors, 5 Seats,White / -,10,32990
Z9237I2772G,C1732W5288P,B7143T6165Q,I7203C8811S,2010 Mazda CX-7 Classic (fwd),2010,USED,Front, 4 Doors, 5 Seats,White / Black,172614,10999
V2686B3144Z,K4244W7044X,P9938X8092V,M5854H2783G,2014 Toyota HiAce KDH201R Van LWB 5dr Auto 4sp 3.0DT,2014,USED,Rear,,,White / -,174683,26900
K8997U4727Z,E9290J6943M,H7117R9856Z,B3877P2767E,2021 Hyundai I30,2021,USED,Front, 5 Doors, 5 Seats,White / Black,29444,25990
E8398T4336H,G8956I5270R,B8014R6896F,K9250H5914A,2013 Nissan Patrol ST (4X4),2013,USED,4WD, 4 Doors, 7 Seats,Silver / Black,161830,39990
N8350T7621M,Y2679F9648Q,B5734I7629S,W3089H7120G,2015 Mitsubishi Pajero GLS LWB (4X4),2015,USED,4WD, 4 Doors, 7 Seats,Brown / -,63551,43990
C1837O5258D,J6107R8521X,G8924W7980I,V3036O9875X,2018 Isuzu D-MAX SX HI-Ride (4X2),2018,USED,Rear, 4 Doors, 5 Seats,White / -,177839,33980
A2854H8364O,C4504O1227Y,C3671Z1077S,U3545H2820S,2011 Toyota Sai 2.4L HYBRID G-EDITION 5 SEATER,2011,USED,Other,,,White / -,93624,19950
G3162L9155R,L9503T1975C,G3618S3198D,D2590E1491A,2006 Jeep Grand Cherokee Laredo (4X4),2006,USED,4WD, 4 Doors, 5 Seats,Gold / -,211770,8999
V8284Q3329X,Z6606O2849M,P1853F7499U,C9705F1759A,2017 Hyundai Tucson Active (fwd),2017,USED,Front, 4 Doors, 5 Seats,Silver / Black,39186,26729
R4276V6687W,E7018W7001B,R2316Y4282H,R3572T8817W,2021 Volkswagen Tiguan 110TSI Life,2021,USED,Front, 4 Doors, 5 Seats,White / Grey,41777,38990
X2930Z2714T,E1834Q6205Q,V7419W9666X,M1886C4812K,2019 Mitsubishi Triton GLS (4X4) Premium,2019,USED,4WD, 4 Doors, 5 Seats,Blue / -,59229,47894
