location_id,location_name
S9969T1709Y,"Wentworthville, NSW"
N6254R2544G,"Blacktown, NSW"
B7202V3623B,"Liverpool, NSW"
C3542V8843A,"Port Macquarie, NSW"
Q3100Z2567E,"Penrith, NSW"
R5853T8290X,"Rozelle, NSW"
Y4243Z5219T,"Belmore, NSW"
S1703H6274P,"Caringbah, NSW"
O8691Y1557B,"Mount Druitt, NSW"
U3510C9214I,"Castle Hill, NSW"
Z4942V9579L,"Port Macquarie, NSW"
I4248E1573J,"Roselands, NSW"
V6995R7607W,"Minchinbury, NSW"
L3936Q8577G,"Port Macquarie, NSW"
M9786S8145E,"Minchinbury, NSW"
F4775N2946O,"Liverpool, NSW"
G7486S1885B,"Blacktown, NSW"
N7670Y4550V,"Elderslie, NSW"
H6498G2385I,"Greenacre, NSW"
R7634A6934Q,"Port Macquarie, NSW"
T3812W6685Z,"Granville, NSW"
P9030I6735I,"Brookvale, NSW"
U6166B7277D,"Blacktown, NSW"
Z5868F4148G,"Liverpool, NSW"
Q6118L5772P,"Chester Hill, NSW"
D1885M1035Q,"Campbelltown, NSW"
L1519U2072G,"Port Macquarie, NSW"
O7867W7186A,"Five Dock, NSW"
Q8497V5375Q,"Port Macquarie, NSW"
P6327M5211D,"Concord, NSW"
R2350Z6434B,"Lidcombe, NSW"
Y7482W1778H,"Arncliffe, NSW"
B6102T3980S,"Castle Hill, NSW"
I9944D5809B,"Croydon, NSW"
X7980H4174R,"Port Macquarie, NSW"
P4678C9032V,"Minchinbury, NSW"
K3583J2203T,"Blacktown, NSW"
H1724R4489P,"Moorebank, NSW"
O8747J7386M,"Brookvale, NSW"
J5602R1506K,"Lidcombe, NSW"
Z3704B9927R,"Port Macquarie, NSW"
Q1008Y3780N,"Caringbah, NSW"
N2167I2315K,"Minchinbury, NSW"
C2704H7620U,"Belmore, NSW"
K6693Y1749E,"Cabramatta, NSW"
M7831Y3283L,"Penrith, NSW"
C6089L7776C,"Liverpool, NSW"
H1433W4352F,"Minchinbury, NSW"
Z6973Q8773Y,"Berwick, VIC"
U7954E1174R,"Minchinbury, NSW"
K9494R8611U,"Granville, NSW"
C1604O3883F,"Petersham, NSW"
A1669A3712N,"Elderslie, NSW"
K9402I7538N,"Regents Park, NSW"
Q2734N2537A,"Yagoona, NSW"
Z9148C6892X,"Moorebank, NSW"
P3577Q9723L,"Elderslie, NSW"
M5406N2447R,"Upper Ferntree Gully, VIC"
K4236Q3471M,"Blacktown, NSW"
G6511D2733V,"Moorebank, NSW"
V7971N5543F,"Sutherland, NSW"
B1649A2813G,"Blacktown, NSW"
W1821S6889Y,"Smeaton Grange, NSW"
A2940Q9388G,"Blacktown, NSW"
F2960T3957E,"Ingleburn, NSW"
B4688Y2892I,"Liverpool, NSW"
G6624M2465C,"Molendinar, QLD"
O1257E1019C,"Blacktown, NSW"
S7479F3265E,"Minchinbury, NSW"
O6718P4065I,"Leichhardt, NSW"
P9346U7866M,"Smeaton Grange, NSW"
G4115D8287X,"Pakenham, VIC"
U4383M2944U,"Five Dock, NSW"
R3969H9279V,"Auburn, NSW"
D9341K6466X,"Artarmon, NSW"
J4444L9829G,"Minchinbury, NSW"
G2421N6922L,"Arundel, QLD"
U5367F3227W,"Penrith, NSW"
C3483A9334G,"Auburn, NSW"
K3672L4965O,"Sylvania, NSW"
I5435Z2180L,"Molendinar, QLD"
N3197O7251T,"Liverpool, NSW"
U3672E2631L,"Blacktown, NSW"
V7446G6974S,"Blacktown, NSW"
X3762S1614Y,"Southport, QLD"
F9733R5893I,"Kirrawee, NSW"
O5226C8172U,"Elderslie, NSW"
W3301Q9237D,"Blacktown, NSW"
M3733J3102E,"Arundel, QLD"
P7958Z9793M,"Carlton, NSW"
M6390E8104T,"Pennant Hills, NSW"
