engine_id,cylinders,engine_size,fuel_type,fuel_consumption,transmission_type
U4101X7726A,4 cyl,"4 cyl, 2 L",Premium,6.3 L / 100 km,Automatic
W1792B3632X,-,-,-,-,Automatic
B1527Y7827H,4 cyl,"4 cyl, 2.8 L",Diesel,8 L / 100 km,Automatic
D6392B8420F,4 cyl,"4 cyl, 2 L",Diesel,4.7 L / 100 km,Automatic
P1650Q1417K,-,-,Unleaded,-,Automatic
P5282E2386G,-,-,Diesel,-,Manual
T9724I2887E,6 cyl,"6 cyl, 3 L",Diesel,10.5 L / 100 km,Automatic
H2821F2261V,4 cyl,"4 cyl, 1.8 L",Unleaded,7.3 L / 100 km,Automatic
I3341Z9816Z,4 cyl,"4 cyl, 2 L",Unleaded,7.6 L / 100 km,Automatic
U2373N4311N,4 cyl,"4 cyl, 2 L",Unleaded,5.7 L / 100 km,Automatic
J8144C9648M,6 cyl,"6 cyl, 3.5 L",Unleaded,11.6 L / 100 km,Automatic
I9431G8488H,4 cyl,"4 cyl, 2.8 L",Diesel,7.9 L / 100 km,Automatic
L6898B1964V,4 cyl,"4 cyl, 2.5 L",Diesel,8.8 L / 100 km,Automatic
F2182F1392J,4 cyl,"4 cyl, 1.3 L",Premium,6.1 L / 100 km,Automatic
L3439M8938G,4 cyl,"4 cyl, 2 L",Diesel,6.2 L / 100 km,Automatic
J8380Q3599H,4 cyl,"4 cyl, 2.5 L",Diesel,9.2 L / 100 km,Manual
M8536W7201X,4 cyl,"4 cyl, 2 L",Premium,8.3 L / 100 km,Automatic
Y3133E2655S,4 cyl,"4 cyl, 2.5 L",Unleaded,8.1 L / 100 km,Automatic
O3458P5552L,6 cyl,"6 cyl, 3.5 L",Premium,11.7 L / 100 km,Automatic
P3857T2451P,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
D6017T8099Y,-,-,Premium,-,Automatic
Q6757D4991C,4 cyl,"4 cyl, 2.5 L",Unleaded,8.3 L / 100 km,Automatic
J7768R2178P,4 cyl,"4 cyl, 2.1 L",Diesel,5.4 L / 100 km,Automatic
S2600M9667W,4 cyl,"4 cyl, 2.2 L",Diesel,6 L / 100 km,Automatic
E2113Y2573N,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
Q8143M1561G,8 cyl,"8 cyl, 4.5 L",Diesel,10.3 L / 100 km,Automatic
